code,name,size,row_colour,disposition,current_stock,incoming_open_qty,verified_coa_gate,margin_status,counsel_flag,public_copy_status,restock_decision,recommended_restock_qty,issues
IGF1LR3-1MG,IGF1-LR3,1 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
IPAMORELIN-5MG,Ipamorelin,5 mg,yellow,continue_controlled_margin_review,59.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
KISSPEPTIN10-5MG,Kisspeptin 10,5 mg,yellow,continue_controlled_margin_review,38.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
KPV-10MG,KPV,10 mg,yellow,continue_controlled_margin_review,38.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
MELANOTAN2-10MG,Melanotan 2,10 mg,yellow,continue_controlled_margin_review,17.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
MOTSC-10MG,MOTS-C,10 mg,yellow,continue_controlled_margin_review,41.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,reorder_focus_coa_economic,90,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
NAD+-500MG,NAD+,500 mg,red,hold_until_verified_coa,26.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
PT141-10MG,PT-141,10 mg,red,hold_until_verified_coa,0,50.0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
RETATRUTIDE-10MG,Retatrutide,10 mg,yellow,continue_controlled_margin_review,67.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,transfer_first_no_purchase,0,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
RETATRUTIDE-30MG,Retatrutide,,yellow,parked_no_stock_until_coa_margin_decision,0,0,verified_public_batch_linked,unknown,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
SELANK-10MG,Selank,10 mg,red,hold_until_verified_coa,0,50.0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
SEMAX-10MG,Semax,10 mg,red,hold_until_verified_coa,0,50.0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
SLUPP332-5MG,SLU-PP-332,5 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
SS31-10MG,SS-31,10 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
TB500-5MG,TB-500,5 mg,yellow,continue_controlled_margin_review,3.0,50.0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
TESAMORELIN-10MG,Tesamorelin,10 mg,yellow,continue_controlled_margin_review,20.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,reorder_focus_coa_economic,60,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
THYMOSINALPHA1-10MG,Thymosin Alpha 1,10 mg,red,hold_until_verified_coa,30.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
TIRZEPATIDE-10MG,Tirzepatide,10 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
VIP-10MG,VIP,10 mg,red,hold_until_verified_coa,50.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
