code,name,size,category,current_stock,incoming_open_qty,public_price_eur,net_revenue_ex_vat_eur,supplier_base_cost_usd_ex_coa,supabase_cost_total_usd,effective_coa_usd_per_sku,economic_batch_qty,economic_coa_per_vial_usd,landed_cost_eur_for_strict_gate,reserve_30pct_public_price_eur,profit_after_coa_vat_reserve_eur,strict_margin_after_coa_vat_reserve_pct,margin_status,public_coa_status,verified_coa_gate,coa_url,test_id,batch,purity_result,counsel_flag,public_copy_status,restock_planner_status,restock_decision,recommended_restock_qty,disposition,row_colour,issues
GHKCU-50MG,GHK-CU,50 mg,cosmetic,48.0,0,69.0,57.5,6.5,11.3,382.5,65,5.8846,10.82,20.7,25.98,45.19,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/121492-GHK_Cu_YK7S5UYEDVXJ,121492,QYA055,99.835%,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
GLUTATHIONE-1500MG,Glutathione,1500 mg,mitochondrial,47.0,0,79.0,65.83,11.0,15.8,382.5,59,6.4831,15.27,23.7,26.86,40.8,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,290,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
IGF1LR3-1MG,IGF1-LR3,1 mg,gh,0,0,59.0,49.17,20.0,20.0,306.0,,,17.47,17.7,14.0,28.47,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,340-360,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
IPAMORELIN-5MG,Ipamorelin,5 mg,gh,59.0,0,39.99,33.33,9.5,18.5,182.75,77,2.3734,10.37,12.0,10.96,32.88,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/121493-Ipamorelin_UMB9VFVI75NT,121493,QYA014,99.699%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
KISSPEPTIN10-5MG,Kisspeptin 10,5 mg,gh,38.0,0,41.0,34.17,5.8,24.8,382.5,198,1.9318,6.75,12.3,15.11,44.23,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/162804-Kisspeptin10_RPY3V2AU83K3,162804,QYA038,99.031%; 99.087%,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
KPV-10MG,KPV,10 mg,immune,38.0,0,49.99,41.66,9.4,17.0,382.5,109,3.5092,11.28,15.0,15.39,36.93,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/162807-KPV_76G8HW4UUVCV,162807,QYA048,99.036%,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
MELANOTAN2-10MG,Melanotan 2,10 mg,cosmetic,17.0,0,39.99,33.33,6.9,14.5,182.75,67,2.7276,8.41,12.0,12.92,38.76,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/162806-Melanotan_2_ZM8W1M72B924,162806,QYA038,99.921%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
MOTSC-10MG,MOTS-C,10 mg,mitochondrial,41.0,0,59.0,49.17,9.0,16.6,382.5,86,4.4477,11.75,17.7,19.72,40.11,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/122356-MOTS_c_FK1QKCZ8EGUC,122356,QYA055,99.249%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,ORDER_NOW,reorder_focus_coa_economic,90,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
NAD+-500MG,NAD+,500 mg,mitochondrial,26.0,0,89.99,74.99,7.5,15.1,382.5,50,7.65,13.23,27.0,34.76,46.35,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,quote required / not mapped in Topic F peptide table,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
PT141-10MG,PT-141,10 mg,cosmetic,0,50.0,34.99,29.16,8.0,8.0,182.75,66,2.7689,9.41,10.5,9.25,31.74,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,215,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
RETATRUTIDE-10MG,Retatrutide,10 mg,metabolic,67.0,0,119.99,99.99,9.5,15.5,280.5,27,10.3889,17.37,36.0,46.62,46.63,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/121491-Retatrutide_P3UJPG6IQNII,121491,GY035,99.729%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,TRANSFER_FIRST,transfer_first_no_purchase,0,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
RETATRUTIDE-30MG,Retatrutide,,,0,0,,,6.4291,6.4291,280.5,,,5.62,,,,unknown,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/121491-Retatrutide_P3UJPG6IQNII,121491,GY035,99.729%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
SELANK-10MG,Selank,10 mg,cognitive,0,50.0,38.0,31.67,8.3,8.3,246.5,81,3.0432,9.91,11.4,10.36,32.71,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,290,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
SEMAX-10MG,Semax,10 mg,cognitive,0,50.0,38.0,31.67,8.0,8.0,246.5,80,3.0812,9.68,11.4,10.59,33.43,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,290,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
SLUPP332-5MG,SLU-PP-332,5 mg,other,0,0,72.0,60.0,11.5,11.5,382.5,,,10.05,21.6,28.35,47.26,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,quote required / not mapped in Topic F pricing,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
SS31-10MG,SS-31,10 mg,mitochondrial,0,0,87.0,72.5,8.7,8.7,382.5,,,7.6,26.1,38.8,53.52,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,450 if treated as Elamipretide,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
TB500-5MG,TB-500,5 mg,repair,3.0,50.0,69.99,58.32,13.0,16.6,182.75,33,5.5379,16.19,21.0,21.14,36.24,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/121494-TB_500_BL8YHV3YWIEY,121494,QY028,99.674%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
TESAMORELIN-10MG,Tesamorelin,10 mg,gh,20.0,0,69.0,57.5,17.0,24.6,246.5,52,4.7404,18.99,20.7,17.81,30.97,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/162803-Tesamorelin_4C9SQ2IYQ2NQ,162803,QYA055,98.271%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,ORDER_NOW,reorder_focus_coa_economic,60,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
THYMOSINALPHA1-10MG,Thymosin Alpha 1,10 mg,immune,30.0,0,69.0,57.5,13.2,21.2,382.5,76,5.0329,15.93,20.7,20.87,36.3,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,290,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
TIRZEPATIDE-10MG,Tirzepatide,10 mg,metabolic,0,0,99.0,82.5,9.4,9.4,280.5,,,8.21,29.7,44.59,54.05,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,360,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
VIP-10MG,VIP,10 mg,immune,50.0,0,59.0,49.17,22.0,29.6,382.5,116,3.2974,22.1,17.7,9.37,19.06,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,450,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
